Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-1.141e-02,0.48
-1.139e-02,0.56
-1.138e-02,0.48
-1.136e-02,0.48
-1.134e-02,0.48
-1.133e-02,0.4
-1.131e-02,0.4
-1.130e-02,0.4
-1.128e-02,0.4
-1.126e-02,0.32
-1.125e-02,0.32
-1.123e-02,0.32
-1.122e-02,0.32
-1.120e-02,0.32
-1.118e-02,0.32
-1.117e-02,0.24
-1.115e-02,0.24
-1.114e-02,0.24
-1.112e-02,0.16
-1.110e-02,0.16
-1.109e-02,0.16
-1.107e-02,0.16
-1.106e-02,0.08
-1.104e-02,0.16
-1.102e-02,0.16
-1.101e-02,0.08
-1.099e-02,0.08
-1.098e-02,0.08
-1.096e-02,0.08
-1.094e-02,0.08
-1.093e-02,0.08
-1.091e-02,0.08
-1.090e-02,0
-1.088e-02,0.08
-1.086e-02,0.08
-1.085e-02,0.08
-1.083e-02,0.08
-1.082e-02,0.08
-1.080e-02,0
-1.078e-02,0
-1.077e-02,0
-1.075e-02,0.08
-1.074e-02,0
-1.072e-02,0
-1.070e-02,0
-1.069e-02,0
-1.067e-02,0
-1.066e-02,0
-1.064e-02,0
-1.062e-02,0
-1.061e-02,0
-1.059e-02,0.08
-1.058e-02,0.08
-1.056e-02,0
-1.054e-02,0
-1.053e-02,0.08
-1.051e-02,0
-1.050e-02,0.08
-1.048e-02,0.08
-1.046e-02,0
-1.045e-02,0
-1.043e-02,0.08
-1.042e-02,0
-1.040e-02,0.08
-1.038e-02,0.08
-1.037e-02,0
-1.035e-02,0.08
-1.034e-02,0.08
-1.032e-02,0.08
-1.030e-02,0.08
-1.029e-02,0.16
-1.027e-02,0.16
-1.026e-02,0.08
-1.024e-02,0.16
-1.022e-02,0.24
-1.021e-02,0.24
-1.019e-02,0.24
-1.018e-02,0.24
-1.016e-02,0.24
-1.014e-02,0.24
-1.013e-02,0.32
-1.011e-02,0.32
-1.010e-02,0.32
-1.008e-02,0.4
-1.006e-02,0.4
-1.005e-02,0.4
-1.003e-02,0.4
-1.002e-02,0.4
-1.000e-02,0.48
-9.984e-03,0.4
-9.968e-03,0.48
-9.952e-03,0.48
-9.936e-03,0.56
-9.920e-03,0.56
-9.904e-03,0.48
-9.888e-03,0.64
-9.872e-03,0.64
-9.856e-03,0.64
-9.840e-03,0.64
-9.824e-03,0.64
-9.808e-03,0.72
-9.792e-03,0.72
-9.776e-03,0.8
-9.760e-03,0.8
-9.744e-03,0.8
-9.728e-03,0.88
-9.712e-03,0.88
-9.696e-03,0.88
-9.680e-03,0.96
-9.664e-03,0.96
-9.648e-03,0.96
-9.632e-03,0.96
-9.616e-03,1.04
-9.600e-03,1.04
-9.584e-03,1.12
-9.568e-03,1.12
-9.552e-03,1.12
-9.536e-03,1.12
-9.520e-03,1.2
-9.504e-03,1.28
-9.488e-03,1.28
-9.472e-03,1.36
-9.456e-03,1.36
-9.440e-03,1.44
-9.424e-03,1.44
-9.408e-03,1.44
-9.392e-03,1.44
-9.376e-03,1.52
-9.360e-03,1.52
-9.344e-03,1.6
-9.328e-03,1.6
-9.312e-03,1.68
-9.296e-03,1.68
-9.280e-03,1.76
-9.264e-03,1.76
-9.248e-03,1.84
-9.232e-03,1.84
-9.216e-03,1.92
-9.200e-03,1.92
-9.184e-03,2
-9.168e-03,2.08
-9.152e-03,2.08
-9.136e-03,2.08
-9.120e-03,2.08
-9.104e-03,2.24
-9.088e-03,2.24
-9.072e-03,2.32
-9.056e-03,2.32
-9.040e-03,2.4
-9.024e-03,2.4
-9.008e-03,2.48
-8.992e-03,2.48
-8.976e-03,2.56
-8.960e-03,2.56
-8.944e-03,2.64
-8.928e-03,2.64
-8.912e-03,2.72
-8.896e-03,2.72
-8.880e-03,2.8
-8.864e-03,2.8
-8.848e-03,2.88
-8.832e-03,2.88
-8.816e-03,2.96
-8.800e-03,3.04
-8.784e-03,3.04
-8.768e-03,3.12
-8.752e-03,3.12
-8.736e-03,3.2
-8.720e-03,3.2
-8.704e-03,3.28
-8.688e-03,3.36
-8.672e-03,3.36
-8.656e-03,3.44
-8.640e-03,3.44
-8.624e-03,3.52
-8.608e-03,3.52
-8.592e-03,3.6
-8.576e-03,3.68
-8.560e-03,3.68
-8.544e-03,3.68
-8.528e-03,3.76
-8.512e-03,3.84
-8.496e-03,3.84
-8.480e-03,3.92
-8.464e-03,4
-8.448e-03,4.08
-8.432e-03,4.08
-8.416e-03,4.16
-8.400e-03,4.16
-8.384e-03,4.24
-8.368e-03,4.32
-8.352e-03,4.32
-8.336e-03,4.4
-8.320e-03,4.4
-8.304e-03,4.48
-8.288e-03,4.56
-8.272e-03,4.56
-8.256e-03,4.64
-8.240e-03,4.72
-8.224e-03,4.72
-8.208e-03,4.8
-8.192e-03,4.8
-8.176e-03,4.88
-8.160e-03,4.88
-8.144e-03,4.96
-8.128e-03,5.04
-8.112e-03,5.04
-8.096e-03,5.12
-8.080e-03,5.2
-8.064e-03,5.2
-8.048e-03,5.28
-8.032e-03,5.36
-8.016e-03,5.36
-8.000e-03,5.44
-7.984e-03,5.44
-7.968e-03,5.52
-7.952e-03,5.52
-7.936e-03,5.68
-7.920e-03,5.68
-7.904e-03,5.76
-7.888e-03,5.84
-7.872e-03,5.84
-7.856e-03,5.84
-7.840e-03,5.92
-7.824e-03,6
-7.808e-03,6
-7.792e-03,6.08
-7.776e-03,6.08
-7.760e-03,6.16
-7.744e-03,6.24
-7.728e-03,6.24
-7.712e-03,6.32
-7.696e-03,6.4
-7.680e-03,6.4
-7.664e-03,6.4
-7.648e-03,6.48
-7.632e-03,6.56
-7.616e-03,6.64
-7.600e-03,6.64
-7.584e-03,6.72
-7.568e-03,6.72
-7.552e-03,6.8
-7.536e-03,6.88
-7.520e-03,6.88
-7.504e-03,6.88
-7.488e-03,6.96
-7.472e-03,6.96
-7.456e-03,7.04
-7.440e-03,7.12
-7.424e-03,7.2
-7.408e-03,7.2
-7.392e-03,7.28
-7.376e-03,7.28
-7.360e-03,7.28
-7.344e-03,7.44
-7.328e-03,7.52
-7.312e-03,7.44
-7.296e-03,7.52
-7.280e-03,7.52
-7.264e-03,7.68
-7.248e-03,7.6
-7.232e-03,7.68
-7.216e-03,7.68
-7.200e-03,7.84
-7.184e-03,7.84
-7.168e-03,7.84
-7.152e-03,7.92
-7.136e-03,7.92
-7.120e-03,8
-7.104e-03,8
-7.088e-03,8.08
-7.072e-03,8.08
-7.056e-03,8.16
-7.040e-03,8.16
-7.024e-03,8.16
-7.008e-03,8.24
-6.992e-03,8.32
-6.976e-03,8.32
-6.960e-03,8.32
-6.944e-03,8.4
-6.928e-03,8.4
-6.912e-03,8.48
-6.896e-03,8.48
-6.880e-03,8.56
-6.864e-03,8.56
-6.848e-03,8.56
-6.832e-03,8.64
-6.816e-03,8.64
-6.800e-03,8.72
-6.784e-03,8.8
-6.768e-03,8.8
-6.752e-03,8.8
-6.736e-03,8.88
-6.720e-03,8.88
-6.704e-03,8.88
-6.688e-03,8.96
-6.672e-03,8.96
-6.656e-03,9.04
-6.640e-03,9.04
-6.624e-03,9.04
-6.608e-03,9.12
-6.592e-03,9.12
-6.576e-03,9.12
-6.560e-03,9.2
-6.544e-03,9.2
-6.528e-03,9.28
-6.512e-03,9.28
-6.496e-03,9.28
-6.480e-03,9.28
-6.464e-03,9.36
-6.448e-03,9.36
-6.432e-03,9.36
-6.416e-03,9.36
-6.400e-03,9.36
-6.384e-03,9.44
-6.368e-03,9.44
-6.352e-03,9.52
-6.336e-03,9.44
-6.320e-03,9.52
-6.304e-03,9.52
-6.288e-03,9.6
-6.272e-03,9.6
-6.256e-03,9.6
-6.240e-03,9.6
-6.224e-03,9.6
-6.208e-03,9.68
-6.192e-03,9.68
-6.176e-03,9.68
-6.160e-03,9.68
-6.144e-03,9.68
-6.128e-03,9.68
-6.112e-03,9.76
-6.096e-03,9.84
-6.080e-03,9.76
-6.064e-03,9.76
-6.048e-03,9.76
-6.032e-03,9.84
-6.016e-03,9.84
-6.000e-03,9.76
-5.984e-03,9.84
-5.968e-03,9.84
-5.952e-03,9.84
-5.936e-03,9.84
-5.920e-03,9.84
-5.904e-03,9.84
-5.888e-03,9.84
-5.872e-03,9.84
-5.856e-03,9.84
-5.840e-03,9.92
-5.824e-03,9.92
-5.808e-03,9.92
-5.792e-03,9.92
-5.776e-03,9.92
-5.760e-03,9.92
-5.744e-03,10
-5.728e-03,9.92
-5.712e-03,9.92
-5.696e-03,9.92
-5.680e-03,9.92
-5.664e-03,9.92
-5.648e-03,9.92
-5.632e-03,9.92
-5.616e-03,9.92
-5.600e-03,9.92
-5.584e-03,9.92
-5.568e-03,9.92
-5.552e-03,9.92
-5.536e-03,9.92
-5.520e-03,9.84
-5.504e-03,9.92
-5.488e-03,9.92
-5.472e-03,9.92
-5.456e-03,9.84
-5.440e-03,9.84
-5.424e-03,9.84
-5.408e-03,9.84
-5.392e-03,9.84
-5.376e-03,9.84
-5.360e-03,9.84
-5.344e-03,9.92
-5.328e-03,9.84
-5.312e-03,9.76
-5.296e-03,9.76
-5.280e-03,9.76
-5.264e-03,9.84
-5.248e-03,9.76
-5.232e-03,9.76
-5.216e-03,9.68
-5.200e-03,9.68
-5.184e-03,9.68
-5.168e-03,9.68
-5.152e-03,9.68
-5.136e-03,9.68
-5.120e-03,9.68
-5.104e-03,9.6
-5.088e-03,9.6
-5.072e-03,9.6
-5.056e-03,9.6
-5.040e-03,9.6
-5.024e-03,9.52
-5.008e-03,9.52
-4.992e-03,9.44
-4.976e-03,9.44
-4.960e-03,9.44
-4.944e-03,9.44
-4.928e-03,9.44
-4.912e-03,9.44
-4.896e-03,9.36
-4.880e-03,9.36
-4.864e-03,9.28
-4.848e-03,9.28
-4.832e-03,9.28
-4.816e-03,9.2
-4.800e-03,9.2
-4.784e-03,9.2
-4.768e-03,9.12
-4.752e-03,9.12
-4.736e-03,9.12
-4.720e-03,9.04
-4.704e-03,9.04
-4.688e-03,9.04
-4.672e-03,8.96
-4.656e-03,8.96
-4.640e-03,8.88
-4.624e-03,8.88
-4.608e-03,8.8
-4.592e-03,8.8
-4.576e-03,8.8
-4.560e-03,8.72
-4.544e-03,8.72
-4.528e-03,8.72
-4.512e-03,8.64
-4.496e-03,8.64
