Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0004
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
-5.050e-03,1.94
-5.046e-03,1.94
-5.043e-03,1.94
-5.040e-03,1.94
-5.037e-03,1.92
-5.034e-03,1.92
-5.030e-03,1.92
-5.027e-03,1.92
-5.024e-03,1.92
-5.021e-03,1.92
-5.018e-03,1.92
-5.014e-03,1.9
-5.011e-03,1.9
-5.008e-03,1.9
-5.005e-03,1.9
-5.002e-03,1.88
-4.998e-03,1.88
-4.995e-03,1.88
-4.992e-03,1.86
-4.989e-03,1.86
-4.986e-03,1.86
-4.982e-03,1.86
-4.979e-03,1.84
-4.976e-03,1.84
-4.973e-03,1.84
-4.970e-03,1.84
-4.966e-03,1.82
-4.963e-03,1.82
-4.960e-03,1.82
-4.957e-03,1.82
-4.954e-03,1.82
-4.950e-03,1.8
-4.947e-03,1.8
-4.944e-03,1.78
-4.941e-03,1.8
-4.938e-03,1.8
-4.934e-03,1.78
-4.931e-03,1.76
-4.928e-03,1.76
-4.925e-03,1.76
-4.922e-03,1.74
-4.918e-03,1.74
-4.915e-03,1.72
-4.912e-03,1.72
-4.909e-03,1.72
-4.906e-03,1.72
-4.902e-03,1.72
-4.899e-03,1.7
-4.896e-03,1.7
-4.893e-03,1.7
-4.890e-03,1.7
-4.886e-03,1.68
-4.883e-03,1.66
-4.880e-03,1.66
-4.877e-03,1.64
-4.874e-03,1.66
-4.870e-03,1.64
-4.867e-03,1.62
-4.864e-03,1.62
-4.861e-03,1.6
-4.858e-03,1.6
-4.854e-03,1.6
-4.851e-03,1.58
-4.848e-03,1.58
-4.845e-03,1.58
-4.842e-03,1.56
-4.838e-03,1.54
-4.835e-03,1.54
-4.832e-03,1.54
-4.829e-03,1.54
-4.826e-03,1.52
-4.822e-03,1.52
-4.819e-03,1.5
-4.816e-03,1.5
-4.813e-03,1.48
-4.810e-03,1.48
-4.806e-03,1.46
-4.803e-03,1.46
-4.800e-03,1.44
-4.797e-03,1.44
-4.794e-03,1.44
-4.790e-03,1.42
-4.787e-03,1.42
-4.784e-03,1.4
-4.781e-03,1.4
-4.778e-03,1.38
-4.774e-03,1.38
-4.771e-03,1.36
-4.768e-03,1.36
-4.765e-03,1.34
-4.762e-03,1.34
-4.758e-03,1.34
-4.755e-03,1.32
-4.752e-03,1.3
-4.749e-03,1.3
-4.746e-03,1.3
-4.742e-03,1.28
-4.739e-03,1.28
-4.736e-03,1.26
-4.733e-03,1.26
-4.730e-03,1.24
-4.726e-03,1.24
-4.723e-03,1.22
-4.720e-03,1.22
-4.717e-03,1.2
-4.714e-03,1.2
-4.710e-03,1.18
-4.707e-03,1.18
-4.704e-03,1.16
-4.701e-03,1.16
-4.698e-03,1.14
-4.694e-03,1.12
-4.691e-03,1.12
-4.688e-03,1.1
-4.685e-03,1.1
-4.682e-03,1.1
-4.678e-03,1.08
-4.675e-03,1.06
-4.672e-03,1.06
-4.669e-03,1.06
-4.666e-03,1.04
-4.662e-03,1.04
-4.659e-03,1.02
-4.656e-03,1.02
-4.653e-03,1
-4.650e-03,1
-4.646e-03,0.98
-4.643e-03,0.98
-4.640e-03,0.98
-4.637e-03,0.96
-4.634e-03,0.94
-4.630e-03,0.94
-4.627e-03,0.92
-4.624e-03,0.92
-4.621e-03,0.9
-4.618e-03,0.9
-4.614e-03,0.88
-4.611e-03,0.88
-4.608e-03,0.88
-4.605e-03,0.86
-4.602e-03,0.84
-4.598e-03,0.84
-4.595e-03,0.84
-4.592e-03,0.82
-4.589e-03,0.8
-4.586e-03,0.8
-4.582e-03,0.8
-4.579e-03,0.78
-4.576e-03,0.78
-4.573e-03,0.78
-4.570e-03,0.76
-4.566e-03,0.74
-4.563e-03,0.74
-4.560e-03,0.74
-4.557e-03,0.72
-4.554e-03,0.72
-4.550e-03,0.7
-4.547e-03,0.7
-4.544e-03,0.68
-4.541e-03,0.68
-4.538e-03,0.66
-4.534e-03,0.64
-4.531e-03,0.64
-4.528e-03,0.64
-4.525e-03,0.62
-4.522e-03,0.62
-4.518e-03,0.6
-4.515e-03,0.6
-4.512e-03,0.58
-4.509e-03,0.56
-4.506e-03,0.58
-4.502e-03,0.56
-4.499e-03,0.56
-4.496e-03,0.54
-4.493e-03,0.54
-4.490e-03,0.54
-4.486e-03,0.52
-4.483e-03,0.5
-4.480e-03,0.5
-4.477e-03,0.5
-4.474e-03,0.48
-4.470e-03,0.48
-4.467e-03,0.46
-4.464e-03,0.46
-4.461e-03,0.44
-4.458e-03,0.44
-4.454e-03,0.44
-4.451e-03,0.42
-4.448e-03,0.42
-4.445e-03,0.42
-4.442e-03,0.4
-4.438e-03,0.4
-4.435e-03,0.38
-4.432e-03,0.38
-4.429e-03,0.36
-4.426e-03,0.36
-4.422e-03,0.36
-4.419e-03,0.34
-4.416e-03,0.34
-4.413e-03,0.32
-4.410e-03,0.32
-4.406e-03,0.32
-4.403e-03,0.3
-4.400e-03,0.3
-4.397e-03,0.3
-4.394e-03,0.28
-4.390e-03,0.28
-4.387e-03,0.28
-4.384e-03,0.26
-4.381e-03,0.26
-4.378e-03,0.26
-4.374e-03,0.26
-4.371e-03,0.24
-4.368e-03,0.24
-4.365e-03,0.24
-4.362e-03,0.24
-4.358e-03,0.22
-4.355e-03,0.22
