,media,desviacion_estandar,amplitud,frecuencia_dominante,potencia,kurtosis,rms,min_value,max_value,total_power,median_freq,f_max,WAMP,MMAV,V3,WL
3,-4.4316452865536264e-05,0.18189970291853613,2.3614763673877794,5235,0.03308750388579969,10.391157745974793,0.18189970831697252,-1.4741374956969282,0.8873388716908515,0.03394502729064232,85.9375,50.78125,311,0.10171344677017183,4.462338009344594,418.36807130878253
3,7.216548615681803e-06,0.19180244601774005,2.6303054405790744,279,0.03678817835046666,9.844850799695855,0.19180244615350103,-1.260530248463393,1.3697751921156816,0.03313270984517386,82.03125,50.78125,318,0.10775773257318606,4.684412217101135,426.2826058203085
3,-4.7211157265542046e-05,0.158847519354962,1.8545916863397411,401,0.025232536634118397,7.226076306147217,0.15884752637078867,-0.9549038390068477,0.8996878473328935,0.026805607251630108,85.9375,82.03125,182,0.08935884518954174,3.4752275773380563,308.9473461337168
3,4.701664253371668e-05,0.16553490727358605,2.7852884851066597,314,0.02740180773663941,13.403657997986752,0.16553491395062073,-1.776734075024707,1.0085544100819528,0.027847273790902453,89.84375,66.40625,275,0.09002459218272221,4.547186008555474,459.7101698678753
3,-1.932633329476961e-05,0.14262791405407244,1.9740782722771093,250,0.02034272224092303,9.153370590636374,0.1426279153634485,-1.0390477582208248,0.9350305140562846,0.019407225333223352,85.9375,46.875,183,0.07963203064211867,3.559101286510314,336.15219556471106
4,-2.4913155383046433e-05,0.12580412470681865,1.7864378562339058,482,0.015826678413914087,9.158473863531714,0.125804127173611,-1.1091185759694815,0.6773192802644242,0.015593096690815692,97.65625,82.03125,160,0.07306732476617478,3.260221949816423,398.0675651608342
4,3.3570360277205535e-05,0.14233965908144017,1.7536561150636465,372,0.020260579674389698,7.385060965137393,0.14233966304017195,-0.9278030637460141,0.8258530513176324,0.02147189466474568,89.84375,70.3125,181,0.08313830569288935,3.3410596325606186,334.0580542127236
4,-9.84759045861443e-06,0.14892361806812218,2.139917036578585,214,0.022178244115474966,8.870550253556516,0.14892361839370868,-1.3649798041560384,0.774937232422547,0.021578987658842034,89.84375,78.125,176,0.08614221216970021,3.433763234338232,324.82158493793577
4,-1.4580917623231067e-06,0.15765684333250274,2.5351426493203038,5681,0.024855680251695343,13.144615794251942,0.15765684333924532,-1.5418827289344104,0.9932599203858936,0.025740677997329302,93.75,105.46875,205,0.08726164005842307,4.097671083298252,381.2875259864537
4,3.3471329751172547e-05,0.18307996879631913,2.2695237850132575,339,0.0335182760947911,9.191756043604167,0.18307997185599276,-1.4497068895908158,0.8198168954224415,0.030778166313993445,82.03125,66.40625,270,0.10279663721673751,4.2845956037489525,372.75616939933644
4,3.76344926914029e-05,0.14623802047607848,1.6866307183722684,400,0.02138556004911699,7.285405402809304,0.14623802531871452,-1.0492485423230555,0.6373821760492128,0.022046834254991907,85.9375,78.125,186,0.08517256376272161,3.4190224432335867,337.31359684157724
4,-0.00010119164091156879,0.1507158415255366,1.6964625029404012,4308,0.02271527512649885,7.200096711568117,0.15071587549591067,-1.0099584125352778,0.6865040904051234,0.024130583087149764,85.9375,42.96875,119,0.08760747177865812,3.2828858777367347,287.06443607548397
4,3.3272688545496995e-05,0.17502431389195508,2.1946023506460577,4793,0.03063351156042142,8.858207209323206,0.17502431705457794,-1.1755181861257384,1.0190841645203195,0.029586218410914127,93.75,54.6875,256,0.09866234529173254,4.089947294167965,361.74800881899057
4,-3.383790063919625e-05,0.20346139164664778,2.9741085625403527,208,0.0413965390357941,10.772368286693318,0.20346139446045802,-1.8559385431541384,1.1181700193862143,0.04322028395716072,78.125,62.5,251,0.11402912373923312,4.505382920400452,331.85984404388535
4,9.770942247126907e-06,0.17108524732403887,2.2087467307788438,326,0.029270161947398864,9.160518498537508,0.17108524760305566,-1.1745177796984874,1.0342289510803564,0.026644252839295682,93.75,82.03125,214,0.08877165750659949,3.7527637285727375,267.3976391406316
5,-1.2252577378097993e-05,0.09794415459396874,1.258241778983109,387,0.0095930575692529,7.497824757361607,0.09794415536035267,-0.7257210102299195,0.5325207687531895,0.00979348064614988,89.84375,42.96875,68,0.05764275241248716,2.694794478980509,415.58844671299875
