,media,desviacion_estandar,amplitud,frecuencia_dominante,potencia,kurtosis,rms,min_value,max_value,total_power,median_freq,f_max,WAMP
4,2.2674397002431953e-05,0.08268409359320036,1.2303780756873113,362,0.006836659847457397,10.381026953256729,0.08268409670219175,-0.5895112719923536,0.6408668036949576,0.0076299201523779454,89.84375,58.59375,1
5,-1.2707402558038316e-05,0.19353249274150475,2.382426185703351,5767,0.03745482590821868,7.8876003925833444,0.19353249315869073,-1.0444603789401508,1.3379658067632005,0.04177288504491982,50.78125,39.0625,3
5,-1.2739966267907809e-05,0.24600456186222275,3.628463860237991,286,0.06051824461933091,10.495891762011755,0.24600456219210837,-1.584888746600782,2.043575113637209,0.052531717484022224,50.78125,39.0625,20
5,1.302623337994191e-05,0.25264391241183737,3.185574214860298,320,0.06382894664844292,8.865219629139135,0.25264391274765147,-1.4996419572383652,1.6859322576219327,0.06053333315821183,46.875,39.0625,6
5,9.504538182699781e-07,0.28732435030746456,3.4569815430341526,284,0.08255528228050997,7.620381393695343,0.2873243503090366,-1.4398415759745988,2.0171399670595536,0.07779707984217883,46.875,42.96875,12
5,1.1092881061409016e-06,0.25433010817474205,3.669674546747226,312,0.06468380392540651,11.919407206803806,0.2543301081771612,-1.8247304982216632,1.8449440485255624,0.0634490353180451,46.875,42.96875,13
6,3.775468904831461e-05,0.3032229458545763,3.2177013981360263,6753,0.09194415631814387,8.418101480834316,0.3032229482050194,-1.380608550237279,1.8370928478987474,0.0977837441954549,46.875,39.0625,23
6,-1.5475518264690356e-05,0.24470478976914836,3.6573953388575298,373,0.05988043437545477,11.425369485795654,0.2447047902584965,-1.4555339965595364,2.201861342297993,0.06312335700327933,46.875,42.96875,22
6,8.78259766136006e-08,0.26407685152512084,3.051556481049339,321,0.06973658351142842,7.473600097785449,0.26407685152513544,-1.6067970937733416,1.4447593872759976,0.07587206856122004,42.96875,39.0625,5
6,-0.0001619345547117029,0.3782695901012684,4.425152546265325,5742,0.1430879090181816,7.300935395062089,0.3782696247627895,-2.409210961154006,2.0159415851113196,0.13757450975664684,46.875,42.96875,29
6,0.0001292039174690865,0.3108620673039894,4.146105241054298,301,0.09663524158216234,11.302186446434115,0.3108620941545661,-2.080490062719415,2.0656151783348826,0.09694872595916504,46.875,42.96875,34
7,1.824041998756944e-05,0.2020659716915964,2.4281769413252023,235,0.040830657248381946,9.114158003233307,0.20206597251487432,-1.1675556058968433,1.2606213354283593,0.04410444627618604,54.6875,39.0625,0
7,-3.1564779417315124e-05,0.2355012065675992,3.507613258291666,298,0.05546081929113033,8.888884902558964,0.23550120868294994,-1.957036604675248,1.5505766536164178,0.05650818738088599,54.6875,42.96875,6
7,5.242642937947381e-06,0.30006847061929204,3.504045254891576,6218,0.09004108708728623,9.492591894639078,0.3000684706650904,-1.5921927623028946,1.911852492588681,0.08238785548061234,50.78125,39.0625,20
7,7.68110883829801e-06,0.2534462274343165,3.1974149500759648,6705,0.06423499025968671,8.616289921376445,0.25344622755071083,-1.5485606297206813,1.6488543203552835,0.07436061385616417,46.875,39.0625,6
7,3.164675282592709e-06,0.2514715767883787,3.518682106818286,6714,0.06323795394244865,9.295114969594877,0.2514715768082919,-1.64270164092991,1.8759804658883759,0.07680843806570516,46.875,42.96875,5
8,-7.690972593199302e-06,0.21329864078838745,2.568185230724106,237,0.045496310221324596,8.83202314710904,0.21329864092704529,-1.3761402690011455,1.1920449617229605,0.054353372868840205,46.875,39.0625,2
8,7.5269522037932595e-06,0.24221832832638848,2.8897925910352495,322,0.058669718633885135,6.576430187271149,0.24221832844333877,-1.5996947781031206,1.290097812932129,0.06788517336433052,50.78125,35.15625,6
8,1.3797145933244948e-05,0.28712161244199275,3.1987907440074945,262,0.08243882052165112,6.678761181700454,0.2871216127734921,-1.443689557932688,1.7551011860748067,0.08474285067291419,46.875,39.0625,8
8,-3.5729618518751166e-05,0.3008606381273389,3.1571384657708457,299,0.09051712485099521,7.840418881702194,0.30086064024892856,-1.4807219323632737,1.6764165334075722,0.1076421456622019,42.96875,39.0625,3
8,1.952134299929978e-05,0.3065659870434062,3.622205617942128,283,0.09398270479298072,7.206320099273961,0.3065659876649409,-1.6951360733158716,1.9270695446262565,0.09929274866040975,46.875,42.96875,17
9,2.139220053031414e-05,0.09957540867092297,1.269529590089218,243,0.009915262469607566,6.041532633375609,0.0995754109688108,-0.5100294964154809,0.7595000936737372,0.010041942268450737,89.84375,42.96875,0
9,-9.059261107529979e-06,0.1129407293245021,1.2250307001178284,282,0.012755608422420657,6.1413683222754,0.1129407296878352,-0.6764594132088113,0.5485712869090171,0.013066257957578665,85.9375,42.96875,0
9,-2.407455084843646e-05,0.11958988289131016,1.2036578881392708,253,0.014301740669541277,6.167173578563483,0.11958988531452515,-0.5371302019291189,0.666527686210152,0.014144335987100166,85.9375,42.96875,0
9,6.278024457095433e-05,0.1433377141986783,1.593684027588549,5716,0.02054570425306109,6.902501595891667,0.14333772794718455,-0.7744860208325561,0.819198006755993,0.020745314947659514,70.3125,39.0625,1
9,-2.340751374866472e-05,0.1295095930248019,1.6719926213340814,7576,0.016772735233361515,6.445130195154461,0.12950959514013435,-0.7120470447044698,0.9599455766296117,0.016484947422305565,70.3125,50.78125,1
10,-5.1933361368007414e-06,0.11248593616618198,1.1997008359101393,198,0.012653085862153106,6.872619757712779,0.11248593628606691,-0.582862949317395,0.6168378865927442,0.01237687756176365,82.03125,42.96875,0
