Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-1.154e-01,0.24
-1.152e-01,0.24
-1.150e-01,0.24
-1.149e-01,0.24
-1.147e-01,0.24
-1.146e-01,0.16
-1.144e-01,0.16
-1.142e-01,0.16
-1.141e-01,0.16
-1.139e-01,0.16
-1.138e-01,0.16
-1.136e-01,0.16
-1.134e-01,0.16
-1.133e-01,0.16
-1.131e-01,0.08
-1.130e-01,0.08
-1.128e-01,0.08
-1.126e-01,0.08
-1.125e-01,0.08
-1.123e-01,0.08
-1.122e-01,0.08
-1.120e-01,0.08
-1.118e-01,0.08
-1.117e-01,0.08
-1.115e-01,0.08
-1.114e-01,0.08
-1.112e-01,0.08
-1.110e-01,0.08
-1.109e-01,0.08
-1.107e-01,0.08
-1.106e-01,0
-1.104e-01,0.08
-1.102e-01,0.08
-1.101e-01,0
-1.099e-01,0
-1.098e-01,0
-1.096e-01,0
-1.094e-01,0
-1.093e-01,0
-1.091e-01,0
-1.090e-01,0
-1.088e-01,0.08
-1.086e-01,0.08
-1.085e-01,0.08
-1.083e-01,0
-1.082e-01,0
-1.080e-01,0.08
-1.078e-01,0.08
-1.077e-01,0
-1.075e-01,0.08
-1.074e-01,0.08
-1.072e-01,0.08
-1.070e-01,0
-1.069e-01,0.08
-1.067e-01,0.08
-1.066e-01,0
-1.064e-01,0
-1.062e-01,0.08
-1.061e-01,0.08
-1.059e-01,0.08
-1.058e-01,0.08
-1.056e-01,0
-1.054e-01,0.08
-1.053e-01,0.08
-1.051e-01,0.08
-1.050e-01,0.08
-1.048e-01,0.08
-1.046e-01,0.08
-1.045e-01,0.08
-1.043e-01,0.08
-1.042e-01,0.16
-1.040e-01,0.16
-1.038e-01,0.16
-1.037e-01,0.16
-1.035e-01,0.08
-1.034e-01,0.16
-1.032e-01,0.16
-1.030e-01,0.16
-1.029e-01,0.24
-1.027e-01,0.16
-1.026e-01,0.24
-1.024e-01,0.24
-1.022e-01,0.24
